活动类别,持续时间,开始时间,结束时间,备注
观影+打游戏,1:01,2023/6/17 15:50,2023/6/17 16:51,GS3！太TM香了忍不住
psy自由探索,0:10,2023/6/17 15:31,2023/6/17 15:41,保研相关
数物计,0:45,2023/6/17 14:27,2023/6/17 15:12,基础物理
阅读,0:14,2023/6/17 11:55,2023/6/17 12:09,chatter
阅读,0:07,2023/6/17 11:45,2023/6/17 11:52,chatter
观影+打游戏,0:55,2023/6/17 10:45,2023/6/17 11:41,魔圆
数物计,0:34,2023/6/17 9:58,2023/6/17 10:33,概率论
数物计,0:22,2023/6/17 9:33,2023/6/17 9:55,概率论
psy自由探索,0:21,2023/6/17 9:08,2023/6/17 9:29,保研相关
观影+打游戏,0:15,2023/6/16 21:13,2023/6/16 21:29,喵斯
课程+作业,0:22,2023/6/16 20:19,2023/6/16 20:41,毕设！
课程+作业,0:32,2023/6/16 19:44,2023/6/16 20:17,毕设！
课程+作业,0:20,2023/6/16 19:19,2023/6/16 19:40,毕设！
课程+作业,0:35,2023/6/16 18:41,2023/6/16 19:16,毕设！
观影+打游戏,1:42,2023/6/16 14:57,2023/6/16 16:40,魔圆
数物计,0:23,2023/6/16 14:29,2023/6/16 14:53,概率论
观影+打游戏,0:24,2023/6/16 11:05,2023/6/16 11:30,魔圆
观影+打游戏,0:25,2023/6/16 10:36,2023/6/16 11:02,GS3！太TM香了忍不住
观影+打游戏,0:10,2023/6/16 10:26,2023/6/16 10:36,GS3！太TM香了忍不住
课程+作业,0:16,2023/6/16 9:53,2023/6/16 10:10,毕设！
课程+作业,0:11,2023/6/16 9:42,2023/6/16 9:53,毕设！
观影+打游戏,1:06,2023/6/16 8:33,2023/6/16 9:39,GS系列通用
观影+打游戏,0:38,2023/6/15 21:08,2023/6/15 21:46,GS系列通用
课程+作业,0:48,2023/6/15 19:38,2023/6/15 20:27,毕设！
课程+作业,0:14,2023/6/15 19:07,2023/6/15 19:21,毕设！
刷B站知乎,0:10,2023/6/15 18:35,2023/6/15 18:45,
观影+打游戏,1:08,2023/6/15 17:27,2023/6/15 18:35,GS3！太TM香了忍不住
观影+打游戏,0:32,2023/6/15 16:01,2023/6/15 16:33,魔圆
观影+打游戏,0:15,2023/6/15 15:34,2023/6/15 15:49,GS系列通用
课程+作业,0:56,2023/6/15 14:37,2023/6/15 15:33,毕设！
观影+打游戏,0:50,2023/6/15 10:56,2023/6/15 11:46,魔圆
课程+作业,0:10,2023/6/15 10:38,2023/6/15 10:48,毕设！
刷B站知乎,0:31,2023/6/15 9:27,2023/6/15 9:58,
语言,0:17,2023/6/15 8:35,2023/6/15 8:53,日语 乐
阅读,0:07,2023/6/14 13:17,2023/6/14 13:24,chatter
观影+打游戏,0:27,2023/6/14 10:44,2023/6/14 11:12,魔圆
课程+作业,1:00,2023/6/13 22:00,2023/6/13 23:01,心理测量—还是自学比较快乐
课程+作业,1:05,2023/6/13 20:11,2023/6/13 21:16,心理测量—还是自学比较快乐
课程+作业,0:35,2023/6/13 19:25,2023/6/13 20:00,心理测量—还是自学比较快乐
